id,name,price,quantity,category,description
106,Sandals,70.00,40,Clothing,Comfortable sandals for everyday use
107,Parka Coat,250.00,20,Clothing,Insulated parka coat for cold weather
108,Leather Gloves,100.00,35,Clothing,Stylish leather gloves for winter
109,Maxi Dress,180.00,28,Clothing,Flowing maxi dress for summer occasions
110,Sports Jacket,200.00,20,Clothing,Lightweight sports jacket for training
111,Running Shorts,80.00,45,Clothing,Breathable running shorts for athletes
112,Formal Trousers,160.00,22,Clothing,Elegant formal trousers for office wear
113,Denim Jacket,220.00,18,Clothing,Classic denim jacket for casual outfits
114,Ankle Boots,250.00,20,Clothing,Stylish ankle boots for all seasons
115,Graphic T-shirt,60.00,50,Clothing,Trendy graphic t-shirt with various prints
116,Sports Bra,90.00,35,Clothing,Supportive sports bra for workouts
117,Chinos,140.00,30,Clothing,Comfortable chinos for casual or formal use
118,Sun Hat,70.00,40,Clothing,Wide-brim sun hat for UV protection
119,Overcoat,280.00,15,Clothing,Warm overcoat for winter wear
120,Slippers,60.00,50,Clothing,Soft slippers for home comfort
121,E-Reader Kindle,300.00,20,Technology,Lightweight e-reader with glare-free screen
122,Portable Projector,400.00,18,Technology,Compact portable projector for movies and presentations
123,Smart TV Box,150.00,35,Technology,Smart TV box with streaming capabilities
124,Portable SSD 512GB,200.00,25,Technology,Fast portable SSD for secure storage
125,Noise Cancelling Headphones,350.00,15,Technology,Premium headphones with active noise cancellation
126,Mechanical Gaming Mouse,120.00,40,Technology,High-performance gaming mouse with customizable buttons
127,Noise-Isolating Earphones,80.00,45,Technology,Comfortable earphones with noise isolation
128,Compact Digital Camera,300.00,20,Technology,Portable digital camera for travel and photography
129,Portable Bluetooth Keyboard,90.00,35,Technology,Wireless bluetooth keyboard for laptops and tablets
130,Smart Home Plug,70.00,50,Technology,Smart plug for remote control of appliances
131,WiFi Repeater,100.00,40,Technology,WiFi repeater for extended coverage
132,Action Camera Accessories,150.00,28,Technology,Accessory kit for action cameras
133,Wireless Presenter,60.00,45,Technology,Wireless presenter for slideshows
134,Smartphone Gimbal,200.00,25,Technology,Stabilized gimbal for smartphone videography
135,Desktop Microphone,100.00,35,Technology,USB desktop microphone for recording and streaming
136,USB Flash Drive 64GB,50.00,60,Technology,High-speed USB flash drive for data storage
137,Smart Home Plug Pro,80.00,45,Technology,Advanced smart plug with energy monitoring
138,WiFi Mesh System,300.00,15,Technology,Whole-home WiFi mesh system for seamless coverage
139,Portable Hard Drive 2TB,250.00,20,Technology,Large-capacity portable hard drive for backups
140,Cooling Pad,60.00,50,Technology,Laptop cooling pad with silent fans
141,LED Desk Lamp,70.00,40,Technology,Adjustable LED desk lamp with touch controls
142,Mini Drone,250.00,20,Technology,Compact mini drone with HD camera
143,Smartphone Stand,40.00,55,Technology,Adjustable stand for smartphones and tablets
144,Power Bank 20000mAh,120.00,35,Technology,High-capacity power bank for extended charging
145,Wireless Charger,90.00,45,Technology,Fast wireless charger for multiple devices
146,Graphics Tablet Pro,350.00,15,Technology,Professional graphics tablet for designers
147,VR Headset Pro,800.00,10,Technology,Advanced VR headset with immersive features
148,Gaming Monitor 24,400.00,20,Technology,High-refresh gaming monitor for smooth visuals
149,External SSD 1TB,300.00,25,Technology,Fast external SSD for quick file transfers
150,Portable Bluetooth Speaker,150.00,40,Technology,Compact Bluetooth speaker with rich sound
151,iphone pro max 16,15000,15,New,it's a very powerful phone
